province,year,population,region
Adana,2007,2006650,Mediterranean Region
Adana,2008,2026319,Mediterranean Region
Adana,2009,2062226,Mediterranean Region
Adana,2010,2085225,Mediterranean Region
Adana,2011,2108805,Mediterranean Region
Adana,2012,2125635,Mediterranean Region
Adana,2013,2149260,Mediterranean Region
Adana,2014,2165595,Mediterranean Region
Adana,2015,2183167,Mediterranean Region
Adana,2016,2201670,Mediterranean Region
Adana,2017,2216475,Mediterranean Region
Adana,2018,2220125,Mediterranean Region
Adiyaman,2007,582762,Southeast Anatolia Region
Adiyaman,2008,585067,Southeast Anatolia Region
Adiyaman,2009,588475,Southeast Anatolia Region
Adiyaman,2010,590935,Southeast Anatolia Region
Adiyaman,2011,593931,Southeast Anatolia Region
Adiyaman,2012,595261,Southeast Anatolia Region
Adiyaman,2013,597184,Southeast Anatolia Region
Adiyaman,2014,597835,Southeast Anatolia Region
Adiyaman,2015,602774,Southeast Anatolia Region
Adiyaman,2016,610484,Southeast Anatolia Region
Adiyaman,2017,615076,Southeast Anatolia Region
Adiyaman,2018,624513,Southeast Anatolia Region
Afyonkarahisar,2007,701572,Aegean Region
Afyonkarahisar,2008,697365,Aegean Region
Afyonkarahisar,2009,701326,Aegean Region
Afyonkarahisar,2010,697559,Aegean Region
Afyonkarahisar,2011,698626,Aegean Region
Afyonkarahisar,2012,703948,Aegean Region
Afyonkarahisar,2013,707123,Aegean Region
Afyonkarahisar,2014,706371,Aegean Region
Afyonkarahisar,2015,709015,Aegean Region
Afyonkarahisar,2016,714523,Aegean Region
Afyonkarahisar,2017,715693,Aegean Region
Afyonkarahisar,2018,725568,Aegean Region
Agri,2007,530879,Eastern Anatolia Region
Agri,2008,532180,Eastern Anatolia Region
Agri,2009,537665,Eastern Anatolia Region
Agri,2010,542022,Eastern Anatolia Region
Agri,2011,555479,Eastern Anatolia Region
Agri,2012,552404,Eastern Anatolia Region
Agri,2013,551177,Eastern Anatolia Region
Agri,2014,549435,Eastern Anatolia Region
Agri,2015,547210,Eastern Anatolia Region
Agri,2016,542255,Eastern Anatolia Region
Agri,2017,536285,Eastern Anatolia Region
Agri,2018,539657,Eastern Anatolia Region
Aksaray,2007,366109,Central Anatolia Region
Aksaray,2008,370598,Central Anatolia Region
Aksaray,2009,376907,Central Anatolia Region
Aksaray,2010,377505,Central Anatolia Region
Aksaray,2011,378823,Central Anatolia Region
Aksaray,2012,379915,Central Anatolia Region
Aksaray,2013,382806,Central Anatolia Region
Aksaray,2014,384252,Central Anatolia Region
Aksaray,2015,386514,Central Anatolia Region
Aksaray,2016,396673,Central Anatolia Region
Aksaray,2017,402404,Central Anatolia Region
Aksaray,2018,412172,Central Anatolia Region
Amasya,2007,328674,Black Sea Region
Amasya,2008,323675,Black Sea Region
Amasya,2009,324268,Black Sea Region
Amasya,2010,334786,Black Sea Region
Amasya,2011,323079,Black Sea Region
Amasya,2012,322283,Black Sea Region
Amasya,2013,321977,Black Sea Region
Amasya,2014,321913,Black Sea Region
Amasya,2015,322167,Black Sea Region
Amasya,2016,326351,Black Sea Region
Amasya,2017,329888,Black Sea Region
Amasya,2018,337508,Black Sea Region
Ankara,2007,4466756,Central Anatolia Region
Ankara,2008,4548939,Central Anatolia Region
Ankara,2009,4650802,Central Anatolia Region
Ankara,2010,4771716,Central Anatolia Region
Ankara,2011,4890893,Central Anatolia Region
Ankara,2012,4965542,Central Anatolia Region
Ankara,2013,5045083,Central Anatolia Region
Ankara,2014,5150072,Central Anatolia Region
Ankara,2015,5270575,Central Anatolia Region
Ankara,2016,5346518,Central Anatolia Region
Ankara,2017,5445026,Central Anatolia Region
Ankara,2018,5503985,Central Anatolia Region
Antalya,2007,1789295,Mediterranean Region
Antalya,2008,1859275,Mediterranean Region
Antalya,2009,1919729,Mediterranean Region
Antalya,2010,1978333,Mediterranean Region
Antalya,2011,2043482,Mediterranean Region
Antalya,2012,2092537,Mediterranean Region
Antalya,2013,2158265,Mediterranean Region
Antalya,2014,2222562,Mediterranean Region
Antalya,2015,2288456,Mediterranean Region
Antalya,2016,2328555,Mediterranean Region
Antalya,2017,2364396,Mediterranean Region
Antalya,2018,2426356,Mediterranean Region
Ardahan,2007,112721,Eastern Anatolia Region
Ardahan,2008,112242,Eastern Anatolia Region
Ardahan,2009,108169,Eastern Anatolia Region
Ardahan,2010,105454,Eastern Anatolia Region
Ardahan,2011,107455,Eastern Anatolia Region
Ardahan,2012,106643,Eastern Anatolia Region
Ardahan,2013,102782,Eastern Anatolia Region
Ardahan,2014,100809,Eastern Anatolia Region
Ardahan,2015,99265,Eastern Anatolia Region
Ardahan,2016,98335,Eastern Anatolia Region
Ardahan,2017,97096,Eastern Anatolia Region
Ardahan,2018,98907,Eastern Anatolia Region
Artvin,2007,168092,Black Sea Region
Artvin,2008,166584,Black Sea Region
Artvin,2009,165580,Black Sea Region
Artvin,2010,164759,Black Sea Region
Artvin,2011,166394,Black Sea Region
Artvin,2012,167082,Black Sea Region
Artvin,2013,169334,Black Sea Region
Artvin,2014,169674,Black Sea Region
Artvin,2015,168370,Black Sea Region
Artvin,2016,168068,Black Sea Region
Artvin,2017,166143,Black Sea Region
Artvin,2018,174010,Black Sea Region
Aydin,2007,946971,Aegean Region
Aydin,2008,965500,Aegean Region
Aydin,2009,979155,Aegean Region
Aydin,2010,989862,Aegean Region
Aydin,2011,999163,Aegean Region
Aydin,2012,1006541,Aegean Region
Aydin,2013,1020957,Aegean Region
Aydin,2014,1041979,Aegean Region
Aydin,2015,1053506,Aegean Region
Aydin,2016,1068260,Aegean Region
Aydin,2017,1080839,Aegean Region
Aydin,2018,1097746,Aegean Region
Balikesir,2007,1118313,Marmara Region
Balikesir,2008,1130276,Marmara Region
Balikesir,2009,1140085,Marmara Region
Balikesir,2010,1152323,Marmara Region
Balikesir,2011,1154314,Marmara Region
Balikesir,2012,1160731,Marmara Region
Balikesir,2013,1162761,Marmara Region
Balikesir,2014,1189057,Marmara Region
Balikesir,2015,1186688,Marmara Region
Balikesir,2016,1196176,Marmara Region
Balikesir,2017,1204824,Marmara Region
Balikesir,2018,1226575,Marmara Region
Bartin,2007,182131,Black Sea Region
Bartin,2008,185368,Black Sea Region
Bartin,2009,188449,Black Sea Region
Bartin,2010,187758,Black Sea Region
Bartin,2011,187291,Black Sea Region
Bartin,2012,188436,Black Sea Region
Bartin,2013,189139,Black Sea Region
Bartin,2014,189405,Black Sea Region
Bartin,2015,190708,Black Sea Region
Bartin,2016,192389,Black Sea Region
Bartin,2017,193577,Black Sea Region
Bartin,2018,198999,Black Sea Region
Batman,2007,472487,Southeast Anatolia Region
Batman,2008,485616,Southeast Anatolia Region
Batman,2009,497998,Southeast Anatolia Region
Batman,2010,510200,Southeast Anatolia Region
Batman,2011,524499,Southeast Anatolia Region
Batman,2012,534205,Southeast Anatolia Region
Batman,2013,547581,Southeast Anatolia Region
Batman,2014,557593,Southeast Anatolia Region
Batman,2015,566633,Southeast Anatolia Region
Batman,2016,576899,Southeast Anatolia Region
Batman,2017,585252,Southeast Anatolia Region
Batman,2018,599103,Southeast Anatolia Region
Bayburt,2007,76609,Black Sea Region
Bayburt,2008,75675,Black Sea Region
Bayburt,2009,74710,Black Sea Region
Bayburt,2010,74412,Black Sea Region
Bayburt,2011,76724,Black Sea Region
Bayburt,2012,75797,Black Sea Region
Bayburt,2013,75620,Black Sea Region
Bayburt,2014,80607,Black Sea Region
Bayburt,2015,78550,Black Sea Region
Bayburt,2016,90154,Black Sea Region
Bayburt,2017,80417,Black Sea Region
Bayburt,2018,82274,Black Sea Region
Bilecik,2007,203777,Marmara Region
Bilecik,2008,193169,Marmara Region
Bilecik,2009,202061,Marmara Region
Bilecik,2010,225381,Marmara Region
Bilecik,2011,203849,Marmara Region
Bilecik,2012,204116,Marmara Region
Bilecik,2013,208888,Marmara Region
Bilecik,2014,209925,Marmara Region
Bilecik,2015,212361,Marmara Region
Bilecik,2016,218297,Marmara Region
Bilecik,2017,221693,Marmara Region
Bilecik,2018,223448,Marmara Region
Bingol,2007,251552,Eastern Anatolia Region
Bingol,2008,256091,Eastern Anatolia Region
Bingol,2009,255745,Eastern Anatolia Region
Bingol,2010,255170,Eastern Anatolia Region
Bingol,2011,262263,Eastern Anatolia Region
Bingol,2012,262507,Eastern Anatolia Region
Bingol,2013,265514,Eastern Anatolia Region
Bingol,2014,266019,Eastern Anatolia Region
Bingol,2015,267184,Eastern Anatolia Region
Bingol,2016,269560,Eastern Anatolia Region
Bingol,2017,273354,Eastern Anatolia Region
Bingol,2018,281205,Eastern Anatolia Region
Bitlis,2007,327886,Eastern Anatolia Region
Bitlis,2008,326897,Eastern Anatolia Region
Bitlis,2009,328489,Eastern Anatolia Region
Bitlis,2010,328767,Eastern Anatolia Region
Bitlis,2011,336624,Eastern Anatolia Region
Bitlis,2012,337253,Eastern Anatolia Region
Bitlis,2013,337156,Eastern Anatolia Region
Bitlis,2014,338023,Eastern Anatolia Region
Bitlis,2015,340449,Eastern Anatolia Region
Bitlis,2016,341225,Eastern Anatolia Region
Bitlis,2017,341474,Eastern Anatolia Region
Bitlis,2018,349396,Eastern Anatolia Region
Bolu,2007,270417,Black Sea Region
Bolu,2008,268882,Black Sea Region
Bolu,2009,271545,Black Sea Region
Bolu,2010,271208,Black Sea Region
Bolu,2011,276506,Black Sea Region
Bolu,2012,281080,Black Sea Region
Bolu,2013,283496,Black Sea Region
Bolu,2014,284789,Black Sea Region
Bolu,2015,291095,Black Sea Region
Bolu,2016,299896,Black Sea Region
Bolu,2017,303184,Black Sea Region
Bolu,2018,311810,Black Sea Region
Burdur,2007,251181,Mediterranean Region
Burdur,2008,247437,Mediterranean Region
Burdur,2009,251550,Mediterranean Region
Burdur,2010,258868,Mediterranean Region
Burdur,2011,250527,Mediterranean Region
Burdur,2012,254341,Mediterranean Region
Burdur,2013,257267,Mediterranean Region
Burdur,2014,256898,Mediterranean Region
Burdur,2015,258339,Mediterranean Region
Burdur,2016,261401,Mediterranean Region
Burdur,2017,264779,Mediterranean Region
Burdur,2018,269926,Mediterranean Region
Bursa,2007,2439876,Marmara Region
Bursa,2008,2507963,Marmara Region
Bursa,2009,2550645,Marmara Region
Bursa,2010,2605495,Marmara Region
Bursa,2011,2652126,Marmara Region
Bursa,2012,2688171,Marmara Region
Bursa,2013,2740970,Marmara Region
Bursa,2014,2787539,Marmara Region
Bursa,2015,2842547,Marmara Region
Bursa,2016,2901396,Marmara Region
Bursa,2017,2936803,Marmara Region
Bursa,2018,2994521,Marmara Region
Canakkale,2007,476128,Marmara Region
Canakkale,2008,474791,Marmara Region
Canakkale,2009,477735,Marmara Region
Canakkale,2010,490397,Marmara Region
Canakkale,2011,486445,Marmara Region
Canakkale,2012,493691,Marmara Region
Canakkale,2013,502328,Marmara Region
Canakkale,2014,511790,Marmara Region
Canakkale,2015,513341,Marmara Region
Canakkale,2016,519793,Marmara Region
Canakkale,2017,530417,Marmara Region
Canakkale,2018,540662,Marmara Region
Cankiri,2007,174012,Central Anatolia Region
Cankiri,2008,176093,Central Anatolia Region
Cankiri,2009,185019,Central Anatolia Region
Cankiri,2010,179067,Central Anatolia Region
Cankiri,2011,177211,Central Anatolia Region
Cankiri,2012,184406,Central Anatolia Region
Cankiri,2013,190909,Central Anatolia Region
Cankiri,2014,183550,Central Anatolia Region
Cankiri,2015,180945,Central Anatolia Region
Cankiri,2016,183880,Central Anatolia Region
Cankiri,2017,186074,Central Anatolia Region
Cankiri,2018,216362,Central Anatolia Region
Corum,2007,549828,Black Sea Region
